 1.000000000000E-02 -7.008172574902E+02  9.956945793113E+02 -1.696511836801E+03
 2.000000000000E-02 -7.008134087697E+02  9.883282727231E+02 -1.689141681493E+03
 3.000000000000E-02 -7.008123668920E+02  9.842176605884E+02 -1.685030027480E+03
 4.000000000000E-02 -7.008141514257E+02  9.861224033201E+02 -1.686936554746E+03
 5.000000000000E-02 -7.008101036816E+02  9.941635778460E+02 -1.694973681528E+03
 6.000000000000E-02 -7.008109108370E+02  1.001356087421E+03 -1.702166998258E+03
 7.000000000000E-02 -7.007991345170E+02  1.001254877615E+03 -1.702054012132E+03
 8.000000000000E-02 -7.008062560578E+02  9.940792115214E+02 -1.694885467579E+03
 9.000000000000E-02 -7.008066971569E+02  9.873217198035E+02 -1.688128416960E+03
 1.000000000000E-01 -7.008120840504E+02  9.905251390596E+02 -1.691337223110E+03
 1.100000000000E-01 -7.008075278209E+02  1.002291797935E+03 -1.703099325756E+03
 1.200000000000E-01 -7.008026914718E+02  1.014369484930E+03 -1.715172176402E+03
 1.300000000000E-01 -7.008034594445E+02  1.021253240580E+03 -1.722056700025E+03
 1.400000000000E-01 -7.007995963924E+02  1.021930278261E+03 -1.722729874653E+03
 1.500000000000E-01 -7.008023906871E+02  1.019181527053E+03 -1.719983917740E+03
 1.600000000000E-01 -7.008006052424E+02  1.015787949985E+03 -1.716588555228E+03
 1.700000000000E-01 -7.008006166472E+02  1.011185923058E+03 -1.711986539706E+03
 1.800000000000E-01 -7.008065015406E+02  1.003984284409E+03 -1.704790785949E+03
 1.900000000000E-01 -7.007970122072E+02  9.948596280632E+02 -1.695656640270E+03
 2.000000000000E-01 -7.008000652167E+02  9.867089893198E+02 -1.687509054536E+03
 2.100000000000E-01 -7.007967403403E+02  9.823380327100E+02 -1.683134773050E+03
 2.200000000000E-01 -7.007990508697E+02  9.817976701616E+02 -1.682596721031E+03
 2.300000000000E-01 -7.008051883404E+02  9.844768309264E+02 -1.685282019267E+03
 2.400000000000E-01 -7.008133912043E+02  9.908682031252E+02 -1.691681594330E+03
 2.500000000000E-01 -7.008103422971E+02  9.993387771098E+02 -1.700149119407E+03
 2.600000000000E-01 -7.008159668717E+02  1.007010198513E+03 -1.707826165384E+03
