 1.000000000000E-02 -7.008298591187E+02  9.796938083599E+02 -1.680523667479E+03
 2.000000000000E-02 -7.008313875102E+02  9.823660255864E+02 -1.683197413097E+03
 3.000000000000E-02 -7.008247166668E+02  9.833757820308E+02 -1.684200498698E+03
 4.000000000000E-02 -7.008241854022E+02  9.853852283276E+02 -1.686209413730E+03
 5.000000000000E-02 -7.008339159321E+02  9.912010806037E+02 -1.692034996536E+03
 6.000000000000E-02 -7.008313938025E+02  1.000121254505E+03 -1.700952648308E+03
 7.000000000000E-02 -7.008324390577E+02  1.006896103661E+03 -1.707728542718E+03
 8.000000000000E-02 -7.008355114641E+02  1.008077445018E+03 -1.708912956482E+03
 9.000000000000E-02 -7.008403681579E+02  1.003431319038E+03 -1.704271687196E+03
 1.000000000000E-01 -7.008454602199E+02  9.945959540241E+02 -1.695441414244E+03
 1.100000000000E-01 -7.008462186878E+02  9.857265388118E+02 -1.686572757500E+03
 1.200000000000E-01 -7.008523632764E+02  9.791069364197E+02 -1.679959299696E+03
 1.300000000000E-01 -7.008495237793E+02  9.759944619760E+02 -1.676843985755E+03
 1.400000000000E-01 -7.008446754501E+02  9.792754394422E+02 -1.680120114892E+03
 1.500000000000E-01 -7.008301118666E+02  9.867371427285E+02 -1.687567254595E+03
 1.600000000000E-01 -7.008293544851E+02  9.936796404175E+02 -1.694508994903E+03
 1.700000000000E-01 -7.008357507419E+02  9.975338084660E+02 -1.698369559208E+03
 1.800000000000E-01 -7.008362425923E+02  9.982438035548E+02 -1.699080046147E+03
 1.900000000000E-01 -7.008367409848E+02  9.980760527116E+02 -1.698912793696E+03
 2.000000000000E-01 -7.008474890360E+02  9.988552705109E+02 -1.699702759547E+03
 2.100000000000E-01 -7.008559415401E+02  1.000802918303E+03 -1.701658859843E+03
 2.200000000000E-01 -7.008557034109E+02  1.002694894729E+03 -1.703550598140E+03
 2.300000000000E-01 -7.008554624146E+02  1.001939298684E+03 -1.702794761098E+03
 2.400000000000E-01 -7.008523841238E+02  9.968072051933E+02 -1.697659589317E+03
 2.500000000000E-01 -7.008500334545E+02  9.894626294671E+02 -1.690312662922E+03
 2.600000000000E-01 -7.008528142917E+02  9.872916444723E+02 -1.688144458764E+03
 2.700000000000E-01 -7.008541345368E+02  9.949101213288E+02 -1.695764255866E+03
 2.800000000000E-01 -7.008488021032E+02  1.006919570062E+03 -1.707768372165E+03
 2.900000000000E-01 -7.008521363932E+02  1.016384607244E+03 -1.717236743637E+03
 3.000000000000E-01 -7.008462443298E+02  1.021049974919E+03 -1.721896219249E+03
 3.100000000000E-01 -7.008500805462E+02  1.020977575863E+03 -1.721827656409E+03
 3.200000000000E-01 -7.008536513789E+02  1.016824224537E+03 -1.717677875916E+03
 3.300000000000E-01 -7.008518416959E+02  1.010875891649E+03 -1.711727733344E+03
 3.400000000000E-01 -7.008482494683E+02  1.006174298757E+03 -1.707022548226E+03
 3.500000000000E-01 -7.008472223695E+02  1.004557171018E+03 -1.705404393387E+03
 3.600000000000E-01 -7.008482559293E+02  1.006606499087E+03 -1.707454755017E+03
 3.700000000000E-01 -7.008539196063E+02  1.010553418013E+03 -1.711407337619E+03
 3.800000000000E-01 -7.008544442752E+02  1.011971305555E+03 -1.712825749830E+03
 3.900000000000E-01 -7.008549455700E+02  1.008663945450E+03 -1.709518891020E+03
 4.000000000000E-01 -7.008515957615E+02  1.002029747461E+03 -1.702881343222E+03
 4.100000000000E-01 -7.008390294769E+02  9.955479615896E+02 -1.696386991067E+03
 4.200000000000E-01 -7.008420904865E+02  9.927855192335E+02 -1.693627609720E+03
 4.300000000000E-01 -7.008380045956E+02  9.953296865891E+02 -1.696167691185E+03
 4.400000000000E-01 -7.008446891804E+02  1.001328357957E+03 -1.702173047138E+03
 4.500000000000E-01 -7.008470206478E+02  1.006056939713E+03 -1.706903960361E+03
 4.600000000000E-01 -7.008426807098E+02  1.005051054020E+03 -1.705893734730E+03
 4.700000000000E-01 -7.008444637144E+02  9.967146238635E+02 -1.697559087578E+03
 4.800000000000E-01 -7.008539046046E+02  9.831447489308E+02 -1.683998653535E+03
 4.900000000000E-01 -7.008497703923E+02  9.700921382678E+02 -1.670941908660E+03
 5.000000000000E-01 -7.008461790240E+02  9.641853018812E+02 -1.665031480905E+03
 5.100000000000E-01 -7.008357107006E+02  9.676237556050E+02 -1.668459466306E+03
 5.200000000000E-01 -7.008244879721E+02  9.763792111684E+02 -1.677203699140E+03
 5.300000000000E-01 -7.008168100324E+02  9.840841935492E+02 -1.684901003582E+03
 5.400000000000E-01 -7.008147602298E+02  9.885410499761E+02 -1.689355810206E+03
 5.500000000000E-01 -7.008132281179E+02  9.890386626991E+02 -1.689851890817E+03
 5.600000000000E-01 -7.008070695136E+02  9.851375662746E+02 -1.685944635788E+03
 5.700000000000E-01 -7.008044692042E+02  9.796400588649E+02 -1.680444528069E+03
 5.800000000000E-01 -7.008029106409E+02  9.788087629625E+02 -1.679611673603E+03
 5.900000000000E-01 -7.008054926134E+02  9.859412349304E+02 -1.686746727544E+03
 6.000000000000E-01 -7.007991165714E+02  9.980796333540E+02 -1.698878749925E+03
 6.100000000000E-01 -7.008119418082E+02  1.010779721913E+03 -1.711591663721E+03
 6.200000000000E-01 -7.008191312242E+02  1.019200165205E+03 -1.720019296429E+03
 6.300000000000E-01 -7.008293709653E+02  1.019511843696E+03 -1.720341214661E+03
 6.400000000000E-01 -7.008278178804E+02  1.011264569044E+03 -1.712092386924E+03
 6.500000000000E-01 -7.008206206097E+02  9.974781674209E+02 -1.698298788031E+03
 6.600000000000E-01 -7.008154651586E+02  9.835792003496E+02 -1.684394665508E+03
 6.700000000000E-01 -7.008149347230E+02  9.757830254437E+02 -1.676597960167E+03
 6.800000000000E-01 -7.008106027181E+02  9.772974739545E+02 -1.678108076673E+03
 6.900000000000E-01 -7.008101182753E+02  9.856120497228E+02 -1.686422167998E+03
 7.000000000000E-01 -7.008165416741E+02  9.962639499046E+02 -1.697080491579E+03
 7.100000000000E-01 -7.008175930867E+02  1.004787864793E+03 -1.705605457880E+03
 7.200000000000E-01 -7.008237381129E+02  1.007036541082E+03 -1.707860279195E+03
 7.300000000000E-01 -7.008219024998E+02  1.003169471290E+03 -1.703991373790E+03
 7.400000000000E-01 -7.008241601097E+02  9.996738821759E+02 -1.700498042286E+03
 7.500000000000E-01 -7.008205965173E+02  1.002911330484E+03 -1.703731927002E+03
 7.600000000000E-01 -7.008278233351E+02  1.010164766163E+03 -1.710992589498E+03
 7.700000000000E-01 -7.008229643131E+02  1.013661273863E+03 -1.714484238176E+03
 7.800000000000E-01 -7.008129544215E+02  1.012170965816E+03 -1.712983920237E+03
 7.900000000000E-01 -7.008104168104E+02  1.008240143981E+03 -1.709050560792E+03
 8.000000000000E-01 -7.008129741025E+02  9.996844616290E+02 -1.700497435732E+03
 8.100000000000E-01 -7.008216330430E+02  9.871615850538E+02 -1.687983218097E+03
 8.200000000000E-01 -7.008285046004E+02  9.772968620035E+02 -1.678125366604E+03
 8.300000000000E-01 -7.008259486626E+02  9.761376206900E+02 -1.676963569353E+03
 8.400000000000E-01 -7.008300853317E+02  9.831912023201E+02 -1.684021287652E+03
 8.500000000000E-01 -7.008239646654E+02  9.925000789744E+02 -1.693324043640E+03
 8.600000000000E-01 -7.008336820485E+02  9.999295421008E+02 -1.700763224149E+03
 8.700000000000E-01 -7.008334150364E+02  1.005882928829E+03 -1.706716343865E+03
 8.800000000000E-01 -7.008334105449E+02  1.011748827592E+03 -1.712582238136E+03
 8.900000000000E-01 -7.008349679337E+02  1.017767066844E+03 -1.718602034778E+03
 9.000000000000E-01 -7.008301311386E+02  1.020704718538E+03 -1.721534849676E+03
 9.100000000000E-01 -7.008321775661E+02  1.016807603909E+03 -1.717639781475E+03
 9.200000000000E-01 -7.008293551344E+02  1.005810309216E+03 -1.706639664350E+03
 9.300000000000E-01 -7.008295866008E+02  9.895405901544E+02 -1.690370176755E+03
 9.400000000000E-01 -7.008367265503E+02  9.723914484426E+02 -1.673228174993E+03
 9.500000000000E-01 -7.008333858626E+02  9.590871516158E+02 -1.659920537478E+03
 9.600000000000E-01 -7.008341447588E+02  9.523154373793E+02 -1.653149582138E+03
 9.700000000000E-01 -7.008267275040E+02  9.534542186582E+02 -1.654280946162E+03
 9.800000000000E-01 -7.008246985090E+02  9.612484428187E+02 -1.662073141328E+03
 9.900000000000E-01 -7.008216286033E+02  9.726787944849E+02 -1.673500423088E+03
 1.000000000000E+00 -7.008262407088E+02  9.862477035155E+02 -1.687073944224E+03
 1.010000000000E+00 -7.008288161653E+02  1.000132655436E+03 -1.700961471601E+03
 1.020000000000E+00 -7.008196075358E+02  1.011198864366E+03 -1.712018471901E+03
 1.030000000000E+00 -7.008121795649E+02  1.017505189781E+03 -1.718317369346E+03
 1.040000000000E+00 -7.008116623563E+02  1.018987904576E+03 -1.719799566933E+03
 1.050000000000E+00 -7.008119189589E+02  1.016249712370E+03 -1.717061631329E+03
 1.060000000000E+00 -7.008170473779E+02  1.009504520797E+03 -1.710321568174E+03
 1.070000000000E+00 -7.008226574120E+02  9.988545063345E+02 -1.699677163747E+03
 1.080000000000E+00 -7.008302893130E+02  9.888007937457E+02 -1.689631083059E+03
 1.090000000000E+00 -7.008233912182E+02  9.859625637655E+02 -1.686785954984E+03
 1.100000000000E+00 -7.008193290499E+02  9.889741695620E+02 -1.689793498612E+03
 1.110000000000E+00 -7.008170306661E+02  9.929061610911E+02 -1.693723191757E+03
 1.120000000000E+00 -7.008203546701E+02  9.961490093346E+02 -1.696969364005E+03
 1.130000000000E+00 -7.008272942426E+02  9.981351893450E+02 -1.698962483588E+03
 1.140000000000E+00 -7.008270521108E+02  9.951975222777E+02 -1.696024574388E+03
 1.150000000000E+00 -7.008326648657E+02  9.856002725366E+02 -1.686432937402E+03
 1.160000000000E+00 -7.008208531902E+02  9.725348452386E+02 -1.673355698429E+03
 1.170000000000E+00 -7.008126272098E+02  9.622690313343E+02 -1.663081658544E+03
 1.180000000000E+00 -7.008190378498E+02  9.601852540733E+02 -1.661004291923E+03
 1.190000000000E+00 -7.008280412107E+02  9.651447928374E+02 -1.665972834048E+03
 1.200000000000E+00 -7.008349796008E+02  9.709104741197E+02 -1.671745453720E+03
 1.210000000000E+00 -7.008301001999E+02  9.732705766048E+02 -1.674100676805E+03
 1.220000000000E+00 -7.008323721398E+02  9.737750138950E+02 -1.674607386035E+03
 1.230000000000E+00 -7.008244364451E+02  9.761617694192E+02 -1.676986205864E+03
 1.240000000000E+00 -7.008221616441E+02  9.803698342629E+02 -1.681191995907E+03
 1.250000000000E+00 -7.008168087860E+02  9.825238212366E+02 -1.683340630023E+03
