 1.000000000000E-02 -7.008649256997E+02  9.923502652909E+02 -1.693215190991E+03
 2.000000000000E-02 -7.008595303486E+02  9.899698796256E+02 -1.690829409974E+03
 3.000000000000E-02 -7.008587434715E+02  9.869100588728E+02 -1.687768802344E+03
 4.000000000000E-02 -7.008500426467E+02  9.856279211776E+02 -1.686477963824E+03
 5.000000000000E-02 -7.008569656122E+02  9.858340787884E+02 -1.686691044401E+03
 6.000000000000E-02 -7.008651529942E+02  9.860279785797E+02 -1.686893131574E+03
 7.000000000000E-02 -7.008700059151E+02  9.864067242772E+02 -1.687276730192E+03
 8.000000000000E-02 -7.008582259062E+02  9.882640746593E+02 -1.689122300565E+03
 9.000000000000E-02 -7.008607995749E+02  9.920061152507E+02 -1.692866914826E+03
 1.000000000000E-01 -7.008659474487E+02  9.955709273197E+02 -1.696436874768E+03
 1.100000000000E-01 -7.008633972385E+02  9.952870190274E+02 -1.696150416266E+03
 1.200000000000E-01 -7.008738854930E+02  9.898721747077E+02 -1.690746060201E+03
 1.300000000000E-01 -7.008646590620E+02  9.808077958678E+02 -1.681672454930E+03
 1.400000000000E-01 -7.008603012552E+02  9.705347580701E+02 -1.671395059325E+03
 1.500000000000E-01 -7.008541473438E+02  9.611162008097E+02 -1.661970348153E+03
 1.600000000000E-01 -7.008592248725E+02  9.555716250871E+02 -1.656430849960E+03
 1.700000000000E-01 -7.008558999383E+02  9.593566225975E+02 -1.660212522536E+03
 1.800000000000E-01 -7.008597819630E+02  9.716373414699E+02 -1.672497123433E+03
 1.900000000000E-01 -7.008569972031E+02  9.854955727946E+02 -1.686352569998E+03
 2.000000000000E-01 -7.008611187307E+02  9.950540527992E+02 -1.695915171530E+03
 2.100000000000E-01 -7.008547353342E+02  9.961376531160E+02 -1.696992388450E+03
 2.200000000000E-01 -7.008587958465E+02  9.875587513251E+02 -1.688417547172E+03
 2.300000000000E-01 -7.008646208843E+02  9.758456994519E+02 -1.676710320336E+03
 2.400000000000E-01 -7.008646460497E+02  9.696898841917E+02 -1.670554530241E+03
 2.500000000000E-01 -7.008605908945E+02  9.668727278749E+02 -1.667733318769E+03
 2.600000000000E-01 -7.008569930689E+02  9.621499844048E+02 -1.663006977474E+03
 2.700000000000E-01 -7.008520784756E+02  9.576314025822E+02 -1.658483481058E+03
 2.800000000000E-01 -7.008513243374E+02  9.595773744028E+02 -1.660428698740E+03
 2.900000000000E-01 -7.008449689085E+02  9.662378505115E+02 -1.667082819420E+03
 3.000000000000E-01 -7.008449887952E+02  9.710485451893E+02 -1.671893533984E+03
 3.100000000000E-01 -7.008483093559E+02  9.706686142227E+02 -1.671516923579E+03
 3.200000000000E-01 -7.008472644927E+02  9.662072611547E+02 -1.667054525647E+03
 3.300000000000E-01 -7.008475212910E+02  9.607999907446E+02 -1.661647512036E+03
 3.400000000000E-01 -7.008516250128E+02  9.553946621797E+02 -1.656246287192E+03
 3.500000000000E-01 -7.008554703926E+02  9.498513171602E+02 -1.650706787553E+03
 3.600000000000E-01 -7.008500767158E+02  9.446744165901E+02 -1.645524493306E+03
 3.700000000000E-01 -7.008536242778E+02  9.433198963261E+02 -1.644173520604E+03
 3.800000000000E-01 -7.008515806000E+02  9.505608061397E+02 -1.651412386740E+03
 3.900000000000E-01 -7.008477838045E+02  9.650180208011E+02 -1.665865804606E+03
 4.000000000000E-01 -7.008549791116E+02  9.795957241817E+02 -1.680450703293E+03
 4.100000000000E-01 -7.008654828011E+02  9.886039633196E+02 -1.689469446121E+03
 4.200000000000E-01 -7.008593179945E+02  9.902061795773E+02 -1.691065497572E+03
 4.300000000000E-01 -7.008572253007E+02  9.876614845840E+02 -1.688518709885E+03
 4.400000000000E-01 -7.008615504473E+02  9.878737207602E+02 -1.688735271207E+03
 4.500000000000E-01 -7.008602896038E+02  9.949648242153E+02 -1.695825113819E+03
