 1.000000000000E-02 -7.008053036076E+02  9.639789803799E+02 -1.664784283987E+03
 2.000000000000E-02 -7.008119622711E+02  9.749034465718E+02 -1.675715408843E+03
 3.000000000000E-02 -7.008248132060E+02  9.893230693105E+02 -1.690147882517E+03
 4.000000000000E-02 -7.008194697695E+02  9.991172470300E+02 -1.699936716799E+03
 5.000000000000E-02 -7.008240439481E+02  9.992643377222E+02 -1.700088381670E+03
 6.000000000000E-02 -7.008262916599E+02  9.941851207913E+02 -1.695011412451E+03
 7.000000000000E-02 -7.008311450366E+02  9.914023264307E+02 -1.692233471467E+03
 8.000000000000E-02 -7.008234700395E+02  9.927780718667E+02 -1.693601541906E+03
 9.000000000000E-02 -7.008262952736E+02  9.971852474346E+02 -1.698011542708E+03
 1.000000000000E-01 -7.008281055607E+02  1.002567027704E+03 -1.703395133264E+03
 1.100000000000E-01 -7.008235133909E+02  1.005857508347E+03 -1.706681021738E+03
 1.200000000000E-01 -7.008206942848E+02  1.004718174440E+03 -1.705538868725E+03
 1.300000000000E-01 -7.008314281912E+02  9.997758770815E+02 -1.700607305273E+03
 1.400000000000E-01 -7.008293694036E+02  9.937830465438E+02 -1.694612415947E+03
 1.500000000000E-01 -7.008291053040E+02  9.889248586626E+02 -1.689753963967E+03
 1.600000000000E-01 -7.008214209930E+02  9.866120876306E+02 -1.687433508624E+03
 1.700000000000E-01 -7.008145242251E+02  9.873169775206E+02 -1.688131501746E+03
 1.800000000000E-01 -7.008186439482E+02  9.887205787906E+02 -1.689539222739E+03
 1.900000000000E-01 -7.008124917144E+02  9.876916331079E+02 -1.688504124822E+03
 2.000000000000E-01 -7.008073525847E+02  9.851060095764E+02 -1.685913362161E+03
 2.100000000000E-01 -7.008124863862E+02  9.833116926953E+02 -1.684124179082E+03
 2.200000000000E-01 -7.008114838471E+02  9.808437894717E+02 -1.681655273319E+03
 2.300000000000E-01 -7.008124999285E+02  9.754983823377E+02 -1.676310882266E+03
 2.400000000000E-01 -7.008168163596E+02  9.693958023154E+02 -1.670212618675E+03
 2.500000000000E-01 -7.008262780124E+02  9.682036105943E+02 -1.669029888607E+03
 2.600000000000E-01 -7.008263214580E+02  9.734418096568E+02 -1.674268131115E+03
 2.700000000000E-01 -7.008268550290E+02  9.794666396912E+02 -1.680293494720E+03
 2.800000000000E-01 -7.008212129773E+02  9.823549953896E+02 -1.683176208367E+03
