 1.000000000000E-02 -7.008169617170E+02  9.846631712852E+02 -1.685480133002E+03
 2.000000000000E-02 -7.008159430787E+02  9.861842617171E+02 -1.687000204796E+03
 3.000000000000E-02 -7.008202927263E+02  9.894933807656E+02 -1.690313673492E+03
 4.000000000000E-02 -7.008269487035E+02  9.943416431470E+02 -1.695168591851E+03
 5.000000000000E-02 -7.008261866800E+02  1.000065106604E+03 -1.700891293284E+03
 6.000000000000E-02 -7.008238831924E+02  1.005462756850E+03 -1.706286640042E+03
 7.000000000000E-02 -7.008256830121E+02  1.009922823424E+03 -1.710748506436E+03
 8.000000000000E-02 -7.008262151156E+02  1.011996869511E+03 -1.712823084627E+03
 9.000000000000E-02 -7.008308217141E+02  1.009387718300E+03 -1.710218540014E+03
 1.000000000000E-01 -7.008382083428E+02  1.003273076205E+03 -1.704111284548E+03
 1.100000000000E-01 -7.008297484681E+02  9.991584609453E+02 -1.699988209413E+03
 1.200000000000E-01 -7.008318214652E+02  9.991895592381E+02 -1.700021380703E+03
 1.300000000000E-01 -7.008320801157E+02  1.000401922990E+03 -1.701234003105E+03
 1.400000000000E-01 -7.008356243091E+02  1.002576952100E+03 -1.703412576409E+03
 1.500000000000E-01 -7.008348755303E+02  1.009777892756E+03 -1.710612768286E+03
 1.600000000000E-01 -7.008405465453E+02  1.019150055660E+03 -1.719990602205E+03
 1.700000000000E-01 -7.008510482795E+02  1.024551555721E+03 -1.725402604000E+03
 1.800000000000E-01 -7.008477008544E+02  1.024572748273E+03 -1.725420449127E+03
 1.900000000000E-01 -7.008548684109E+02  1.021756033758E+03 -1.722610902169E+03
 2.000000000000E-01 -7.008543721942E+02  1.016520970640E+03 -1.717375342834E+03
 2.100000000000E-01 -7.008494748891E+02  1.008075375601E+03 -1.708924850490E+03
 2.200000000000E-01 -7.008392134068E+02  1.001057733302E+03 -1.701896946709E+03
 2.300000000000E-01 -7.008405220518E+02  9.986536117260E+02 -1.699494133778E+03
 2.400000000000E-01 -7.008454071455E+02  9.976681516089E+02 -1.698513558754E+03
 2.500000000000E-01 -7.008499922590E+02  9.956601606545E+02 -1.696510152913E+03
 2.600000000000E-01 -7.008502388509E+02  9.951174576814E+02 -1.695967696532E+03
 2.700000000000E-01 -7.008540865103E+02  9.971141011002E+02 -1.697968187610E+03
 2.800000000000E-01 -7.008568962811E+02  1.000323513753E+03 -1.701180410034E+03
 2.900000000000E-01 -7.008640622450E+02  1.004824155740E+03 -1.705688217985E+03
 3.000000000000E-01 -7.008686947634E+02  1.010166380050E+03 -1.711035074814E+03
 3.100000000000E-01 -7.008615585355E+02  1.012606014824E+03 -1.713467573359E+03
 3.200000000000E-01 -7.008572090529E+02  1.008138859613E+03 -1.708996068666E+03
 3.300000000000E-01 -7.008454205888E+02  9.971824452051E+02 -1.698027865794E+03
 3.400000000000E-01 -7.008307751775E+02  9.843386046580E+02 -1.685169379835E+03
 3.500000000000E-01 -7.008240836629E+02  9.798136003978E+02 -1.680637684061E+03
 3.600000000000E-01 -7.008290536413E+02  9.878979476404E+02 -1.688727001282E+03
 3.700000000000E-01 -7.008290798763E+02  9.949582841629E+02 -1.695787364039E+03
 3.800000000000E-01 -7.008241397253E+02  9.955626068311E+02 -1.696386746556E+03
 3.900000000000E-01 -7.008258946228E+02  9.990872544197E+02 -1.699913149043E+03
 4.000000000000E-01 -7.008280077976E+02  1.009587152991E+03 -1.710415160789E+03
 4.100000000000E-01 -7.008195861926E+02  1.018066440069E+03 -1.718886026261E+03
 4.200000000000E-01 -7.008175130345E+02  1.019381969561E+03 -1.720199482595E+03
 4.300000000000E-01 -7.008272061689E+02  1.016037333412E+03 -1.716864539581E+03
 4.400000000000E-01 -7.008340979064E+02  1.012745327348E+03 -1.713579425255E+03
 4.500000000000E-01 -7.008451100262E+02  1.012403855208E+03 -1.713248965234E+03
 4.600000000000E-01 -7.008515237356E+02  1.014614575021E+03 -1.715466098756E+03
 4.700000000000E-01 -7.008487341632E+02  1.016906113422E+03 -1.717754847585E+03
 4.800000000000E-01 -7.008553987457E+02  1.015541034863E+03 -1.716396433608E+03
 4.900000000000E-01 -7.008533188566E+02  1.009886664259E+03 -1.710739983116E+03
 5.000000000000E-01 -7.008538210140E+02  1.004820448434E+03 -1.705674269448E+03
 5.100000000000E-01 -7.008451356502E+02  1.002412127429E+03 -1.703257263079E+03
 5.200000000000E-01 -7.008333388588E+02  1.001089409716E+03 -1.701922748575E+03
 5.300000000000E-01 -7.008353892499E+02  1.002560315147E+03 -1.703395704397E+03
 5.400000000000E-01 -7.008410392941E+02  1.005897641170E+03 -1.706738680465E+03
 5.500000000000E-01 -7.008390011576E+02  1.007918191879E+03 -1.708757193037E+03
 5.600000000000E-01 -7.008515408048E+02  1.006713415854E+03 -1.707564956659E+03
 5.700000000000E-01 -7.008438500479E+02  1.002617203966E+03 -1.703461054014E+03
 5.800000000000E-01 -7.008551125484E+02  9.971788926467E+02 -1.698034005195E+03
 5.900000000000E-01 -7.008494633294E+02  9.914977744160E+02 -1.692347237745E+03
 6.000000000000E-01 -7.008555942667E+02  9.885154800303E+02 -1.689371074297E+03
 6.100000000000E-01 -7.008471768581E+02  9.899752001604E+02 -1.690822377019E+03
 6.200000000000E-01 -7.008520530692E+02  9.925573741262E+02 -1.693409427195E+03
 6.300000000000E-01 -7.008648466338E+02  9.942969852776E+02 -1.695161831911E+03
 6.400000000000E-01 -7.008645884341E+02  9.957889533068E+02 -1.696653541741E+03
 6.500000000000E-01 -7.008674174190E+02  9.970904780026E+02 -1.697957895422E+03
 6.600000000000E-01 -7.008697332875E+02  9.963525923556E+02 -1.697222325643E+03
