 1.000000000000E-02 -7.008257719370E+02  9.840116584107E+02 -1.684837430348E+03
 2.000000000000E-02 -7.008234935660E+02  9.893344251844E+02 -1.690157918750E+03
 3.000000000000E-02 -7.008240232262E+02  9.969467550346E+02 -1.697770778261E+03
 4.000000000000E-02 -7.008186333865E+02  1.003863932526E+03 -1.704682565913E+03
 5.000000000000E-02 -7.008155481375E+02  1.011122138693E+03 -1.711937686831E+03
 6.000000000000E-02 -7.008160774796E+02  1.019847079678E+03 -1.720663157157E+03
 7.000000000000E-02 -7.008196785463E+02  1.027563092261E+03 -1.728382770807E+03
 8.000000000000E-02 -7.008124998591E+02  1.032083601886E+03 -1.732896101745E+03
 9.000000000000E-02 -7.008099357276E+02  1.034447454151E+03 -1.735257389878E+03
 1.000000000000E-01 -7.008150646056E+02  1.035010375719E+03 -1.735825440324E+03
 1.100000000000E-01 -7.008025229218E+02  1.032467185957E+03 -1.733269708879E+03
 1.200000000000E-01 -7.007943421033E+02  1.026322983896E+03 -1.727117326000E+03
 1.300000000000E-01 -7.007882025009E+02  1.015661684197E+03 -1.716449886698E+03
 1.400000000000E-01 -7.007955778482E+02  1.001608533388E+03 -1.702404111236E+03
 1.500000000000E-01 -7.007845251961E+02  9.915952623857E+02 -1.692379787582E+03
 1.600000000000E-01 -7.007868590125E+02  9.918776021069E+02 -1.692664461119E+03
 1.700000000000E-01 -7.007871617158E+02  9.988305334199E+02 -1.699617695136E+03
 1.800000000000E-01 -7.007859007599E+02  1.005736343322E+03 -1.706522244082E+03
 1.900000000000E-01 -7.007813079407E+02  1.009092103709E+03 -1.709873411649E+03
 2.000000000000E-01 -7.007708152289E+02  1.006874749486E+03 -1.707645564715E+03
 2.100000000000E-01 -7.007769277866E+02  9.994839397056E+02 -1.700260867492E+03
 2.200000000000E-01 -7.007845630656E+02  9.919961101657E+02 -1.692780673231E+03
 2.300000000000E-01 -7.007830412186E+02  9.903865291451E+02 -1.691169570364E+03
 2.400000000000E-01 -7.007882082365E+02  9.929611805024E+02 -1.693749388739E+03
 2.500000000000E-01 -7.007856693691E+02  9.931758139226E+02 -1.693961483292E+03
 2.600000000000E-01 -7.008005081172E+02  9.878024867183E+02 -1.688602994836E+03
 2.700000000000E-01 -7.008214510461E+02  9.790629183064E+02 -1.679884369353E+03
 2.800000000000E-01 -7.008206692431E+02  9.739586130212E+02 -1.674779282264E+03
 2.900000000000E-01 -7.008247843868E+02  9.750284591939E+02 -1.675853243581E+03
 3.000000000000E-01 -7.008283711290E+02  9.796849795366E+02 -1.680513350666E+03
 3.100000000000E-01 -7.008296721286E+02  9.860337940722E+02 -1.686863466201E+03
 3.200000000000E-01 -7.008278904114E+02  9.905899685753E+02 -1.691417858987E+03
 3.300000000000E-01 -7.008209714725E+02  9.914109102137E+02 -1.692231881686E+03
 3.400000000000E-01 -7.008245528215E+02  9.892256316177E+02 -1.690050184439E+03
 3.500000000000E-01 -7.008240504447E+02  9.843470048557E+02 -1.685171055300E+03
 3.600000000000E-01 -7.008148425964E+02  9.758877211103E+02 -1.676702563707E+03
 3.700000000000E-01 -7.007989527437E+02  9.637768882991E+02 -1.664575841043E+03
 3.800000000000E-01 -7.007968410227E+02  9.524223064934E+02 -1.653219147516E+03
 3.900000000000E-01 -7.007914663511E+02  9.508189785751E+02 -1.651610444926E+03
 4.000000000000E-01 -7.007902554343E+02  9.588399938108E+02 -1.659630249245E+03
 4.100000000000E-01 -7.007923107151E+02  9.672282129487E+02 -1.668020523664E+03
 4.200000000000E-01 -7.008071359569E+02  9.730856643168E+02 -1.673892800274E+03
 4.300000000000E-01 -7.008120007526E+02  9.779116024280E+02 -1.678723603181E+03
 4.400000000000E-01 -7.008117435587E+02  9.812651612379E+02 -1.682076904797E+03
 4.500000000000E-01 -7.008099447180E+02  9.828226714070E+02 -1.683632616125E+03
 4.600000000000E-01 -7.008053489502E+02  9.829801343331E+02 -1.683785483283E+03
 4.700000000000E-01 -7.008094540654E+02  9.802878349753E+02 -1.681097289041E+03
 4.800000000000E-01 -7.008035479693E+02  9.739518391001E+02 -1.674755387069E+03
 4.900000000000E-01 -7.008063332072E+02  9.670160040767E+02 -1.667822337284E+03
 5.000000000000E-01 -7.008019590924E+02  9.643256628857E+02 -1.665127621978E+03
 5.100000000000E-01 -7.008065991220E+02  9.686889439409E+02 -1.669495543063E+03
 5.200000000000E-01 -7.008099767979E+02  9.754813631761E+02 -1.676291339974E+03
 5.300000000000E-01 -7.008104874003E+02  9.776749066175E+02 -1.678485394018E+03
 5.400000000000E-01 -7.008078810566E+02  9.752191272810E+02 -1.676027008338E+03
 5.500000000000E-01 -7.008037337573E+02  9.749845296577E+02 -1.675788263415E+03
 5.600000000000E-01 -7.008109277816E+02  9.834275065255E+02 -1.684238434307E+03
 5.700000000000E-01 -7.008045654404E+02  9.968901696354E+02 -1.697694735076E+03
 5.800000000000E-01 -7.008089207396E+02  1.008952062679E+03 -1.709760983419E+03
 5.900000000000E-01 -7.008119799378E+02  1.017963135991E+03 -1.718775115929E+03
 6.000000000000E-01 -7.008019962079E+02  1.025176193093E+03 -1.725978189301E+03
 6.100000000000E-01 -7.007951170562E+02  1.030252738936E+03 -1.731047855992E+03
 6.200000000000E-01 -7.007956480270E+02  1.029188123815E+03 -1.729983771842E+03
 6.300000000000E-01 -7.007961372979E+02  1.019943564616E+03 -1.720739701914E+03
