 1.000000000000E-02 -7.008565478904E+02  1.011007971590E+03 -1.711864519481E+03
 2.000000000000E-02 -7.008636990343E+02  1.008351068074E+03 -1.709214767108E+03
 3.000000000000E-02 -7.008534770732E+02  1.009979280316E+03 -1.710832757389E+03
 4.000000000000E-02 -7.008588810265E+02  1.013445610958E+03 -1.714304491984E+03
 5.000000000000E-02 -7.008532640507E+02  1.014555599868E+03 -1.715408863919E+03
 6.000000000000E-02 -7.008489053562E+02  1.011162397489E+03 -1.712011302845E+03
 7.000000000000E-02 -7.008504250410E+02  1.004496459485E+03 -1.705346884526E+03
 8.000000000000E-02 -7.008519529253E+02  9.974766001461E+02 -1.698328553071E+03
 9.000000000000E-02 -7.008465647909E+02  9.925233065220E+02 -1.693369871313E+03
 1.000000000000E-01 -7.008350463435E+02  9.920029555904E+02 -1.692838001934E+03
 1.100000000000E-01 -7.008340506645E+02  9.957853057429E+02 -1.696619356407E+03
 1.200000000000E-01 -7.008325309850E+02  9.999001040592E+02 -1.700732635044E+03
 1.300000000000E-01 -7.008353403677E+02  1.001580198757E+03 -1.702415539125E+03
 1.400000000000E-01 -7.008299522059E+02  1.001324175183E+03 -1.702154127388E+03
 1.500000000000E-01 -7.008381338732E+02  1.001028005978E+03 -1.701866139851E+03
 1.600000000000E-01 -7.008450547699E+02  1.002281616988E+03 -1.703126671757E+03
 1.700000000000E-01 -7.008448103857E+02  1.004185726646E+03 -1.705030537032E+03
 1.800000000000E-01 -7.008463495176E+02  1.005073138855E+03 -1.705919488372E+03
 1.900000000000E-01 -7.008486639444E+02  1.004099657485E+03 -1.704948321429E+03
 2.000000000000E-01 -7.008486665027E+02  1.000061865556E+03 -1.700910532059E+03
 2.100000000000E-01 -7.008581100136E+02  9.933470747445E+02 -1.694205184758E+03
 2.200000000000E-01 -7.008532203929E+02  9.882183890187E+02 -1.689071609412E+03
 2.300000000000E-01 -7.008580965135E+02  9.881831360122E+02 -1.689041232526E+03
 2.400000000000E-01 -7.008529942457E+02  9.915535473641E+02 -1.692406541610E+03
 2.500000000000E-01 -7.008535006755E+02  9.956214602081E+02 -1.696474960884E+03
 2.600000000000E-01 -7.008509409298E+02  1.000216569185E+03 -1.701067510115E+03
 2.700000000000E-01 -7.008545358346E+02  1.004684140476E+03 -1.705538676311E+03
 2.800000000000E-01 -7.008453189281E+02  1.007306769874E+03 -1.708152088802E+03
 2.900000000000E-01 -7.008506758685E+02  1.008115850810E+03 -1.708966526678E+03
 3.000000000000E-01 -7.008545076522E+02  1.009258354616E+03 -1.710112862268E+03
 3.100000000000E-01 -7.008527259106E+02  1.011610285475E+03 -1.712463011385E+03
 3.200000000000E-01 -7.008599080194E+02  1.013498289784E+03 -1.714358197803E+03
 3.300000000000E-01 -7.008504274394E+02  1.013161268484E+03 -1.714011695923E+03
 3.400000000000E-01 -7.008463064456E+02  1.012154984137E+03 -1.713001290583E+03
 3.500000000000E-01 -7.008345370792E+02  1.013706018110E+03 -1.714540555190E+03
 3.600000000000E-01 -7.008371195709E+02  1.017056626397E+03 -1.717893745968E+03
 3.700000000000E-01 -7.008312573081E+02  1.018358230175E+03 -1.719189487483E+03
 3.800000000000E-01 -7.008256188915E+02  1.014020690756E+03 -1.714846309647E+03
 3.900000000000E-01 -7.008304589721E+02  1.004984375590E+03 -1.705814834563E+03
 4.000000000000E-01 -7.008317363172E+02  9.949674076921E+02 -1.695799144009E+03
 4.100000000000E-01 -7.008445005642E+02  9.865539057427E+02 -1.687398406307E+03
 4.200000000000E-01 -7.008401642504E+02  9.849505239092E+02 -1.685790688160E+03
 4.300000000000E-01 -7.008284298540E+02  9.884388674956E+02 -1.689267297350E+03
 4.400000000000E-01 -7.008289232551E+02  9.911571486188E+02 -1.691986071874E+03
 4.500000000000E-01 -7.008325010598E+02  9.938972320780E+02 -1.694729733138E+03
 4.600000000000E-01 -7.008345660744E+02  9.969054699153E+02 -1.697740035990E+03
 4.700000000000E-01 -7.008386727981E+02  9.979624895866E+02 -1.698801162385E+03
 4.800000000000E-01 -7.008409650519E+02  9.959930277069E+02 -1.696833992759E+03
 4.900000000000E-01 -7.008442692602E+02  9.932651125595E+02 -1.694109381820E+03
 5.000000000000E-01 -7.008486128364E+02  9.936300612140E+02 -1.694478674050E+03
 5.100000000000E-01 -7.008429816606E+02  9.988601371942E+02 -1.699703118855E+03
 5.200000000000E-01 -7.008414689270E+02  1.008216721866E+03 -1.709058190793E+03
 5.300000000000E-01 -7.008345914934E+02  1.017378943691E+03 -1.718213535184E+03
 5.400000000000E-01 -7.008540383566E+02  1.021062153096E+03 -1.721916191453E+03
 5.500000000000E-01 -7.008524673615E+02  1.019671735309E+03 -1.720524202671E+03
 5.600000000000E-01 -7.008509221559E+02  1.017535807550E+03 -1.718386729706E+03
 5.700000000000E-01 -7.008419820299E+02  1.015965175476E+03 -1.716807157506E+03
 5.800000000000E-01 -7.008437794277E+02  1.012481049207E+03 -1.713324828635E+03
 5.900000000000E-01 -7.008371054258E+02  1.006318773093E+03 -1.707155878518E+03
 6.000000000000E-01 -7.008386275379E+02  1.000026155254E+03 -1.700864782792E+03
 6.100000000000E-01 -7.008396518909E+02  9.959746972526E+02 -1.696814349143E+03
 6.200000000000E-01 -7.008381236828E+02  9.945654848625E+02 -1.695403608545E+03
 6.300000000000E-01 -7.008355675989E+02  9.950466839724E+02 -1.695882251571E+03
 6.400000000000E-01 -7.008412067545E+02  9.966870656426E+02 -1.697528272397E+03
 6.500000000000E-01 -7.008312484834E+02  9.980499331376E+02 -1.698881181621E+03
 6.600000000000E-01 -7.008399737083E+02  9.958662580819E+02 -1.696706231790E+03
 6.700000000000E-01 -7.008422653321E+02  9.879017410335E+02 -1.688744006366E+03
 6.800000000000E-01 -7.008468485219E+02  9.764933375665E+02 -1.677340186088E+03
 6.900000000000E-01 -7.008609052835E+02  9.662054680800E+02 -1.667066373364E+03
 7.000000000000E-01 -7.008695943479E+02  9.612181418895E+02 -1.662087736237E+03
 7.100000000000E-01 -7.008662792410E+02  9.636794961049E+02 -1.664545775346E+03
 7.200000000000E-01 -7.008765337431E+02  9.717840449878E+02 -1.672660578731E+03
 7.300000000000E-01 -7.008673369867E+02  9.826048747278E+02 -1.683472211715E+03
 7.400000000000E-01 -7.008571251052E+02  9.926535027667E+02 -1.693510627872E+03
 7.500000000000E-01 -7.008545758983E+02  9.979486811635E+02 -1.698803257062E+03
