 1.000000000000E-02 -7.008296717812E+02  9.542688401923E+02 -1.655098511974E+03
 2.000000000000E-02 -7.008191986725E+02  9.590227319060E+02 -1.659841930579E+03
 3.000000000000E-02 -7.008279073353E+02  9.627285366257E+02 -1.663556443961E+03
 4.000000000000E-02 -7.008266296263E+02  9.642875170924E+02 -1.665114146719E+03
 5.000000000000E-02 -7.008240509248E+02  9.637434761541E+02 -1.664567527079E+03
 6.000000000000E-02 -7.008255507324E+02  9.641229835094E+02 -1.664948534242E+03
 7.000000000000E-02 -7.008201951819E+02  9.695425605904E+02 -1.670362755772E+03
 8.000000000000E-02 -7.008158703084E+02  9.771179933530E+02 -1.677933863661E+03
 9.000000000000E-02 -7.008197167552E+02  9.819434750981E+02 -1.682763191853E+03
 1.000000000000E-01 -7.008204849418E+02  9.819771258433E+02 -1.682797610785E+03
 1.100000000000E-01 -7.008248008207E+02  9.776547200306E+02 -1.678479520851E+03
 1.200000000000E-01 -7.008291058652E+02  9.748898726711E+02 -1.675718978536E+03
 1.300000000000E-01 -7.008276151546E+02  9.792229975757E+02 -1.680050612730E+03
 1.400000000000E-01 -7.008350627959E+02  9.853106210704E+02 -1.686145683866E+03
 1.500000000000E-01 -7.008376203807E+02  9.886484657469E+02 -1.689486086128E+03
 1.600000000000E-01 -7.008258614419E+02  9.885326557118E+02 -1.689358517154E+03
 1.700000000000E-01 -7.008186967492E+02  9.832794845696E+02 -1.684098181319E+03
 1.800000000000E-01 -7.008186577321E+02  9.737673146511E+02 -1.674585972383E+03
 1.900000000000E-01 -7.008191695763E+02  9.654641213996E+02 -1.666283290976E+03
 2.000000000000E-01 -7.008214984469E+02  9.592386527534E+02 -1.660060151200E+03
 2.100000000000E-01 -7.008240497602E+02  9.523736861018E+02 -1.653197735862E+03
 2.200000000000E-01 -7.008286276367E+02  9.459285572963E+02 -1.646757184933E+03
 2.300000000000E-01 -7.008204289682E+02  9.437378595431E+02 -1.644558288511E+03
 2.400000000000E-01 -7.008155904051E+02  9.466278544794E+02 -1.647443444884E+03
 2.500000000000E-01 -7.008191845398E+02  9.513447858878E+02 -1.652163970428E+03
 2.600000000000E-01 -7.008155755602E+02  9.565745254348E+02 -1.657390100995E+03
 2.700000000000E-01 -7.008207109546E+02  9.646275257953E+02 -1.665448236750E+03
 2.800000000000E-01 -7.008176782503E+02  9.726753542676E+02 -1.673493032518E+03
 2.900000000000E-01 -7.008117814583E+02  9.748054447548E+02 -1.675617226213E+03
 3.000000000000E-01 -7.008017649056E+02  9.711550361770E+02 -1.671956801083E+03
 3.100000000000E-01 -7.008022483814E+02  9.661340510872E+02 -1.666936299469E+03
 3.200000000000E-01 -7.007981426275E+02  9.638684056175E+02 -1.664666548245E+03
 3.300000000000E-01 -7.007986709927E+02  9.658606904136E+02 -1.666659361406E+03
 3.400000000000E-01 -7.007956270541E+02  9.698695215744E+02 -1.670665148629E+03
 3.500000000000E-01 -7.008022923987E+02  9.721331207725E+02 -1.672935413171E+03
 3.600000000000E-01 -7.008125164227E+02  9.713699243277E+02 -1.672182440750E+03
 3.700000000000E-01 -7.008155599261E+02  9.700856317421E+02 -1.670901191668E+03
 3.800000000000E-01 -7.008147970505E+02  9.720976792772E+02 -1.672912476328E+03
 3.900000000000E-01 -7.008240348335E+02  9.768199228518E+02 -1.677643957685E+03
 4.000000000000E-01 -7.008232789901E+02  9.808907510283E+02 -1.681714030018E+03
 4.100000000000E-01 -7.008324912802E+02  9.823238160700E+02 -1.683156307350E+03
 4.200000000000E-01 -7.008273554623E+02  9.816723767971E+02 -1.682499732259E+03
 4.300000000000E-01 -7.008314411754E+02  9.814396759845E+02 -1.682271117160E+03
 4.400000000000E-01 -7.008316994403E+02  9.834233531620E+02 -1.684255052602E+03
 4.500000000000E-01 -7.008301645917E+02  9.877444139336E+02 -1.688574578525E+03
 4.600000000000E-01 -7.008237715793E+02  9.943573437603E+02 -1.695181115340E+03
 4.700000000000E-01 -7.008245577079E+02  1.002031726367E+03 -1.702856284075E+03
 4.800000000000E-01 -7.008235395868E+02  1.008011036699E+03 -1.708834576286E+03
