 1.000000000000E-02 -7.008252963310E+02  1.014310364205E+03 -1.715135660536E+03
 2.000000000000E-02 -7.008268429037E+02  1.014453916505E+03 -1.715280759409E+03
 3.000000000000E-02 -7.008314263612E+02  1.010965864014E+03 -1.711797290375E+03
 4.000000000000E-02 -7.008226868068E+02  1.007432582707E+03 -1.708255269514E+03
 5.000000000000E-02 -7.008252501089E+02  1.008849930682E+03 -1.709675180791E+03
 6.000000000000E-02 -7.008245126541E+02  1.014966367111E+03 -1.715790879765E+03
 7.000000000000E-02 -7.008263271353E+02  1.021337163329E+03 -1.722163490464E+03
 8.000000000000E-02 -7.008235170180E+02  1.024316769020E+03 -1.725140286038E+03
 9.000000000000E-02 -7.008342600386E+02  1.023031409528E+03 -1.723865669567E+03
 1.000000000000E-01 -7.008360308595E+02  1.019128450589E+03 -1.719964481449E+03
 1.100000000000E-01 -7.008380708466E+02  1.016026469596E+03 -1.716864540442E+03
 1.200000000000E-01 -7.008373277067E+02  1.015026066545E+03 -1.715863394251E+03
 1.300000000000E-01 -7.008393945060E+02  1.013127617032E+03 -1.713967011538E+03
 1.400000000000E-01 -7.008278775289E+02  1.007656634285E+03 -1.708484511814E+03
 1.500000000000E-01 -7.008224929678E+02  9.984355117320E+02 -1.699258004700E+03
 1.600000000000E-01 -7.008242470031E+02  9.878720404064E+02 -1.688696287410E+03
 1.700000000000E-01 -7.008290982002E+02  9.818025286708E+02 -1.682631626871E+03
 1.800000000000E-01 -7.008258112097E+02  9.822793672920E+02 -1.683105178502E+03
 1.900000000000E-01 -7.008230077537E+02  9.847266264594E+02 -1.685549634213E+03
 2.000000000000E-01 -7.008204282327E+02  9.872438236287E+02 -1.688064251861E+03
 2.100000000000E-01 -7.008199089430E+02  9.921590076662E+02 -1.692978916609E+03
 2.200000000000E-01 -7.008155818061E+02  9.999124715799E+02 -1.700728053386E+03
 2.300000000000E-01 -7.008214751703E+02  1.006927452401E+03 -1.707748927572E+03
 2.400000000000E-01 -7.008089246927E+02  1.011362901838E+03 -1.712171826531E+03
