 1.000000000000E-02 -7.008142278899E+02  1.009528180465E+03 -1.710342408354E+03
 2.000000000000E-02 -7.008241972660E+02  1.012155502414E+03 -1.712979699680E+03
 3.000000000000E-02 -7.008247075332E+02  1.013627736140E+03 -1.714452443673E+03
 4.000000000000E-02 -7.008247065459E+02  1.014034764278E+03 -1.714859470824E+03
 5.000000000000E-02 -7.008275158834E+02  1.013377751406E+03 -1.714205267289E+03
 6.000000000000E-02 -7.008292963446E+02  1.012706987743E+03 -1.713536284087E+03
 7.000000000000E-02 -7.008269822207E+02  1.013917634659E+03 -1.714744616880E+03
 8.000000000000E-02 -7.008300610190E+02  1.018480378641E+03 -1.719310439660E+03
 9.000000000000E-02 -7.008323961865E+02  1.025272208083E+03 -1.726104604270E+03
 1.000000000000E-01 -7.008283197499E+02  1.030252147554E+03 -1.731080467304E+03
 1.100000000000E-01 -7.008308611035E+02  1.031159246689E+03 -1.731990107793E+03
 1.200000000000E-01 -7.008318899477E+02  1.030208281609E+03 -1.731040171557E+03
 1.300000000000E-01 -7.008249769863E+02  1.027671311807E+03 -1.728496288793E+03
 1.400000000000E-01 -7.008213653592E+02  1.024615169325E+03 -1.725436534684E+03
 1.500000000000E-01 -7.008226583541E+02  1.024247818433E+03 -1.725070476787E+03
 1.600000000000E-01 -7.008244671295E+02  1.024934952230E+03 -1.725759419360E+03
 1.700000000000E-01 -7.008239599351E+02  1.023858858446E+03 -1.724682818381E+03
 1.800000000000E-01 -7.008224265989E+02  1.020002715127E+03 -1.720825141726E+03
 1.900000000000E-01 -7.008277977915E+02  1.013367757273E+03 -1.714195555065E+03
 2.000000000000E-01 -7.008287942522E+02  1.005610282083E+03 -1.706439076335E+03
 2.100000000000E-01 -7.008298155394E+02  1.000674696457E+03 -1.701504511996E+03
 2.200000000000E-01 -7.008359741959E+02  9.994641799849E+02 -1.700300154181E+03
 2.300000000000E-01 -7.008283088330E+02  9.997352436595E+02 -1.700563552492E+03
 2.400000000000E-01 -7.008239622151E+02  9.989409000751E+02 -1.699764862290E+03
 2.500000000000E-01 -7.008267451780E+02  9.965342093650E+02 -1.697360954543E+03
 2.600000000000E-01 -7.008287649557E+02  9.967797121155E+02 -1.697608477071E+03
 2.700000000000E-01 -7.008257175365E+02  1.003078681452E+03 -1.703904398989E+03
 2.800000000000E-01 -7.008203761440E+02  1.012058076231E+03 -1.712878452375E+03
 2.900000000000E-01 -7.008234520881E+02  1.018642318869E+03 -1.719465770957E+03
 3.000000000000E-01 -7.008214030845E+02  1.021446979936E+03 -1.722268383021E+03
 3.100000000000E-01 -7.008255072584E+02  1.020278747356E+03 -1.721104254614E+03
 3.200000000000E-01 -7.008157537083E+02  1.014928093009E+03 -1.715743846717E+03
 3.300000000000E-01 -7.008126680161E+02  1.009112997573E+03 -1.709925665589E+03
 3.400000000000E-01 -7.008239536610E+02  1.004714125286E+03 -1.705538078947E+03
 3.500000000000E-01 -7.008211284062E+02  9.992317178967E+02 -1.700052846303E+03
 3.600000000000E-01 -7.008421052940E+02  9.931545914611E+02 -1.693996696755E+03
 3.700000000000E-01 -7.008426096441E+02  9.881326629529E+02 -1.688975272597E+03
 3.800000000000E-01 -7.008402975408E+02  9.851922204837E+02 -1.686032518025E+03
 3.900000000000E-01 -7.008372327213E+02  9.850541130442E+02 -1.685891345765E+03
 4.000000000000E-01 -7.008354618990E+02  9.865771267703E+02 -1.687412588669E+03
 4.100000000000E-01 -7.008354769096E+02  9.871338010604E+02 -1.687969277970E+03
 4.200000000000E-01 -7.008436553035E+02  9.853276621549E+02 -1.686171317458E+03
 4.300000000000E-01 -7.008472146302E+02  9.838012589722E+02 -1.684648473602E+03
 4.400000000000E-01 -7.008436450789E+02  9.862905261252E+02 -1.687134171204E+03
 4.500000000000E-01 -7.008377886013E+02  9.914213427410E+02 -1.692259131342E+03
 4.600000000000E-01 -7.008403496581E+02  9.952132640084E+02 -1.696053613666E+03
 4.700000000000E-01 -7.008472377591E+02  9.975166532657E+02 -1.698363891025E+03
 4.800000000000E-01 -7.008426432844E+02  1.000997864553E+03 -1.701840507837E+03
 4.900000000000E-01 -7.008347447810E+02  1.003918100810E+03 -1.704752845591E+03
 5.000000000000E-01 -7.008344978607E+02  1.001594053268E+03 -1.702428551129E+03
 5.100000000000E-01 -7.008339340260E+02  9.937358686107E+02 -1.694569802637E+03
 5.200000000000E-01 -7.008441214958E+02  9.883305614423E+02 -1.689174682938E+03
 5.300000000000E-01 -7.008492815180E+02  9.919540918784E+02 -1.692803373396E+03
 5.400000000000E-01 -7.008480311531E+02  9.993217480377E+02 -1.700169779191E+03
 5.500000000000E-01 -7.008441975768E+02  1.004618957312E+03 -1.705463154888E+03
 5.600000000000E-01 -7.008395875632E+02  1.005772975979E+03 -1.706612563542E+03
 5.700000000000E-01 -7.008295974197E+02  1.002758713425E+03 -1.703588310845E+03
 5.800000000000E-01 -7.008288279161E+02  9.968035298631E+02 -1.697632357779E+03
