 1.000000000000E-02 -7.008418750110E+02  1.006762751988E+03 -1.707604626999E+03
 2.000000000000E-02 -7.008470142240E+02  1.012421464096E+03 -1.713268478320E+03
 3.000000000000E-02 -7.008477988769E+02  1.018850162946E+03 -1.719697961822E+03
 4.000000000000E-02 -7.008490670438E+02  1.023105367159E+03 -1.723954434203E+03
 5.000000000000E-02 -7.008400999223E+02  1.025721141757E+03 -1.726561241679E+03
 6.000000000000E-02 -7.008372761887E+02  1.027467311204E+03 -1.728304587392E+03
 7.000000000000E-02 -7.008362446744E+02  1.029238586827E+03 -1.730074831502E+03
 8.000000000000E-02 -7.008352256293E+02  1.031784324503E+03 -1.732619550133E+03
 9.000000000000E-02 -7.008336967629E+02  1.034200793714E+03 -1.735034490477E+03
 1.000000000000E-01 -7.008280742423E+02  1.035267089774E+03 -1.736095164016E+03
 1.100000000000E-01 -7.008201442144E+02  1.033835874601E+03 -1.734656018815E+03
 1.200000000000E-01 -7.008142355706E+02  1.029924608617E+03 -1.730738844187E+03
 1.300000000000E-01 -7.008126904627E+02  1.026812949969E+03 -1.727625640432E+03
 1.400000000000E-01 -7.008145105648E+02  1.026072156975E+03 -1.726886667540E+03
 1.500000000000E-01 -7.008139987953E+02  1.024814887120E+03 -1.725628885916E+03
 1.600000000000E-01 -7.008206446187E+02  1.022954587562E+03 -1.723775232180E+03
 1.700000000000E-01 -7.008129887934E+02  1.021594754166E+03 -1.722407742959E+03
 1.800000000000E-01 -7.008104403213E+02  1.018201483896E+03 -1.719011924217E+03
 1.900000000000E-01 -7.008081092219E+02  1.011882578989E+03 -1.712690688211E+03
 2.000000000000E-01 -7.008083637918E+02  1.006196209655E+03 -1.707004573447E+03
 2.100000000000E-01 -7.008106744499E+02  1.001765661300E+03 -1.702576335750E+03
 2.200000000000E-01 -7.008132067434E+02  9.981543492076E+02 -1.698967555951E+03
 2.300000000000E-01 -7.008203841690E+02  9.979122955804E+02 -1.698732679749E+03
 2.400000000000E-01 -7.008132343503E+02  9.995157030706E+02 -1.700328937421E+03
 2.500000000000E-01 -7.008029902688E+02  1.000004063772E+03 -1.700807054041E+03
 2.600000000000E-01 -7.007981170732E+02  9.993764587075E+02 -1.700174575781E+03
 2.700000000000E-01 -7.007927425970E+02  9.987526962505E+02 -1.699545438847E+03
 2.800000000000E-01 -7.007914592913E+02  9.984157125770E+02 -1.699207171868E+03
 2.900000000000E-01 -7.007927299235E+02  9.993865811130E+02 -1.700179311037E+03
 3.000000000000E-01 -7.007947941914E+02  1.002977440588E+03 -1.703772234779E+03
 3.100000000000E-01 -7.007943017381E+02  1.007360049675E+03 -1.708154351413E+03
 3.200000000000E-01 -7.007996648122E+02  1.010447259722E+03 -1.711246924534E+03
 3.300000000000E-01 -7.008006830958E+02  1.013832931777E+03 -1.714633614873E+03
 3.400000000000E-01 -7.007981519885E+02  1.018129334707E+03 -1.718927486695E+03
 3.500000000000E-01 -7.008022764426E+02  1.019431203042E+03 -1.720233479484E+03
 3.600000000000E-01 -7.008086811004E+02  1.013894849245E+03 -1.714703530345E+03
 3.700000000000E-01 -7.008112204709E+02  1.001591231508E+03 -1.702402451979E+03
 3.800000000000E-01 -7.008278298842E+02  9.868663504391E+02 -1.687694180323E+03
 3.900000000000E-01 -7.008344601085E+02  9.759750119663E+02 -1.676809472075E+03
 4.000000000000E-01 -7.008349855212E+02  9.736753025876E+02 -1.674510288109E+03
 4.100000000000E-01 -7.008391058738E+02  9.788376046337E+02 -1.679676710508E+03
 4.200000000000E-01 -7.008434724595E+02  9.874356536637E+02 -1.688279126123E+03
 4.300000000000E-01 -7.008388738402E+02  9.960471424975E+02 -1.696886016338E+03
 4.400000000000E-01 -7.008352843449E+02  1.002264680525E+03 -1.703099964870E+03
 4.500000000000E-01 -7.008380944769E+02  1.005531275481E+03 -1.706369369958E+03
 4.600000000000E-01 -7.008506312987E+02  1.005836960775E+03 -1.706687592074E+03
 4.700000000000E-01 -7.008501047155E+02  1.003834598906E+03 -1.704684703621E+03
