 1.000000000000E-02 -7.008320966269E+02  1.014148089574E+03 -1.714980186201E+03
 2.000000000000E-02 -7.008415802164E+02  1.013993772684E+03 -1.714835352900E+03
 3.000000000000E-02 -7.008370105208E+02  1.012819121026E+03 -1.713656131547E+03
 4.000000000000E-02 -7.008423891963E+02  1.005964098505E+03 -1.706806487701E+03
 5.000000000000E-02 -7.008390080077E+02  9.938681229362E+02 -1.694707130944E+03
 6.000000000000E-02 -7.008346309453E+02  9.839980236066E+02 -1.684832654552E+03
 7.000000000000E-02 -7.008408093301E+02  9.799235255981E+02 -1.680764334928E+03
 8.000000000000E-02 -7.008421024168E+02  9.775453543746E+02 -1.678387456791E+03
 9.000000000000E-02 -7.008497607454E+02  9.748185500481E+02 -1.675668310794E+03
 1.000000000000E-01 -7.008525594899E+02  9.742557176542E+02 -1.675108277144E+03
 1.100000000000E-01 -7.008517907237E+02  9.782570911140E+02 -1.679108881838E+03
 1.200000000000E-01 -7.008500325089E+02  9.863525442122E+02 -1.687202576721E+03
 1.300000000000E-01 -7.008477664111E+02  9.936249640771E+02 -1.694472730488E+03
 1.400000000000E-01 -7.008551813676E+02  9.950245327513E+02 -1.695879714119E+03
 1.500000000000E-01 -7.008528376814E+02  9.919143471678E+02 -1.692767184849E+03
 1.600000000000E-01 -7.008517980885E+02  9.901353710616E+02 -1.690987169150E+03
 1.700000000000E-01 -7.008518312244E+02  9.921099076472E+02 -1.692961738872E+03
 1.800000000000E-01 -7.008551779643E+02  9.939081343776E+02 -1.694763312342E+03
 1.900000000000E-01 -7.008618141241E+02  9.928434552658E+02 -1.693705269390E+03
 2.000000000000E-01 -7.008569386898E+02  9.907818677753E+02 -1.691638806465E+03
 2.100000000000E-01 -7.008477327302E+02  9.889730122600E+02 -1.689820744990E+03
 2.200000000000E-01 -7.008449158002E+02  9.864433408072E+02 -1.687288256607E+03
 2.300000000000E-01 -7.008377380891E+02  9.834519657965E+02 -1.684289703886E+03
 2.400000000000E-01 -7.008331298768E+02  9.815239698876E+02 -1.682357099764E+03
 2.500000000000E-01 -7.008336447274E+02  9.811789183925E+02 -1.682012563120E+03
 2.600000000000E-01 -7.008349322870E+02  9.823254535329E+02 -1.683160385820E+03
 2.700000000000E-01 -7.008372501337E+02  9.840027972933E+02 -1.684840047427E+03
 2.800000000000E-01 -7.008439287980E+02  9.836237507066E+02 -1.684467679505E+03
 2.900000000000E-01 -7.008444200194E+02  9.782676380468E+02 -1.679112058066E+03
 3.000000000000E-01 -7.008402901845E+02  9.706168461819E+02 -1.671457136366E+03
 3.100000000000E-01 -7.008482096940E+02  9.659175288932E+02 -1.666765738587E+03
 3.200000000000E-01 -7.008456448553E+02  9.672822050428E+02 -1.668127849898E+03
 3.300000000000E-01 -7.008495201675E+02  9.750157558330E+02 -1.675865276001E+03
 3.400000000000E-01 -7.008413449392E+02  9.843325529431E+02 -1.685173897882E+03
 3.500000000000E-01 -7.008323927409E+02  9.917055690428E+02 -1.692537961784E+03
 3.600000000000E-01 -7.008319051078E+02  9.950456406016E+02 -1.695877545709E+03
 3.700000000000E-01 -7.008326823781E+02  9.911493012222E+02 -1.691981983600E+03
 3.800000000000E-01 -7.008246867803E+02  9.804545861898E+02 -1.681279272970E+03
 3.900000000000E-01 -7.008164662920E+02  9.716552789764E+02 -1.672471745268E+03
 4.000000000000E-01 -7.008192978780E+02  9.697368847552E+02 -1.670556182633E+03
 4.100000000000E-01 -7.008205944433E+02  9.726265681644E+02 -1.673447162608E+03
 4.200000000000E-01 -7.008252030011E+02  9.775025828249E+02 -1.678327785826E+03
 4.300000000000E-01 -7.008318515316E+02  9.834747806121E+02 -1.684306632144E+03
 4.400000000000E-01 -7.008246747416E+02  9.905239698145E+02 -1.691348644556E+03
 4.500000000000E-01 -7.008382342285E+02  9.986730473309E+02 -1.699511281559E+03
 4.600000000000E-01 -7.008423294890E+02  1.007752451153E+03 -1.708594780642E+03
 4.700000000000E-01 -7.008331197364E+02  1.016788778598E+03 -1.717621898335E+03
 4.800000000000E-01 -7.008313369469E+02  1.024152412638E+03 -1.724983749585E+03
 4.900000000000E-01 -7.008369794792E+02  1.028099486034E+03 -1.728936465513E+03
 5.000000000000E-01 -7.008439031511E+02  1.027001998346E+03 -1.727845901497E+03
 5.100000000000E-01 -7.008582256129E+02  1.019967678313E+03 -1.720825903926E+03
 5.200000000000E-01 -7.008602390021E+02  1.009853195012E+03 -1.710713434014E+03
 5.300000000000E-01 -7.008633127511E+02  1.001999963387E+03 -1.702863276138E+03
 5.400000000000E-01 -7.008605177036E+02  9.969575911596E+02 -1.697818108863E+03
 5.500000000000E-01 -7.008641065896E+02  9.922634505790E+02 -1.693127557169E+03
 5.600000000000E-01 -7.008720404027E+02  9.871502159097E+02 -1.688022256312E+03
 5.700000000000E-01 -7.008674292623E+02  9.820102081506E+02 -1.682877637413E+03
 5.800000000000E-01 -7.008699798350E+02  9.777746571190E+02 -1.678644636954E+03
 5.900000000000E-01 -7.008671603742E+02  9.760218257657E+02 -1.676888986140E+03
 6.000000000000E-01 -7.008707558047E+02  9.772794440084E+02 -1.678150199813E+03
 6.100000000000E-01 -7.008820282646E+02  9.799556081940E+02 -1.680837636459E+03
 6.200000000000E-01 -7.008853464651E+02  9.828828314047E+02 -1.683768177870E+03
 6.300000000000E-01 -7.008891713677E+02  9.873575241904E+02 -1.688246695558E+03
 6.400000000000E-01 -7.008917460685E+02  9.952826044407E+02 -1.696174350509E+03
 6.500000000000E-01 -7.008884608935E+02  1.004316174508E+03 -1.705204635401E+03
 6.600000000000E-01 -7.008825800427E+02  1.008614760677E+03 -1.709497340720E+03
 6.700000000000E-01 -7.008835776990E+02  1.006645488477E+03 -1.707529066176E+03
 6.800000000000E-01 -7.008799749926E+02  1.001627167438E+03 -1.702507142430E+03
 6.900000000000E-01 -7.008866235464E+02  9.967126883059E+02 -1.697599311852E+03
 7.000000000000E-01 -7.008920093734E+02  9.933288134136E+02 -1.694220822787E+03
 7.100000000000E-01 -7.008989260978E+02  9.907520186793E+02 -1.691650944777E+03
 7.200000000000E-01 -7.008989130352E+02  9.889519157375E+02 -1.689850828773E+03
 7.300000000000E-01 -7.009024909571E+02  9.897441102793E+02 -1.690646601236E+03
 7.400000000000E-01 -7.008973674054E+02  9.942832468767E+02 -1.695180614282E+03
 7.500000000000E-01 -7.009025110021E+02  1.002430795594E+03 -1.703333306597E+03
 7.600000000000E-01 -7.009043361916E+02  1.010408330010E+03 -1.711312666201E+03
 7.700000000000E-01 -7.009069067596E+02  1.013234675724E+03 -1.714141582484E+03
 7.800000000000E-01 -7.009063773624E+02  1.009362170209E+03 -1.710268547571E+03
 7.900000000000E-01 -7.009030137698E+02  1.001811268975E+03 -1.702714282745E+03
 8.000000000000E-01 -7.009009567013E+02  9.961362145698E+02 -1.697037171271E+03
 8.100000000000E-01 -7.008897295982E+02  9.939835838531E+02 -1.694873313451E+03
 8.200000000000E-01 -7.008884575412E+02  9.912014106263E+02 -1.692089868167E+03
 8.300000000000E-01 -7.008950793608E+02  9.868367085993E+02 -1.687731787960E+03
 8.400000000000E-01 -7.008973663239E+02  9.850938920465E+02 -1.685991258370E+03
 8.500000000000E-01 -7.009017377492E+02  9.879439390507E+02 -1.688845676800E+03
 8.600000000000E-01 -7.008897249104E+02  9.923321847230E+02 -1.693221909633E+03
 8.700000000000E-01 -7.008938144500E+02  9.950689908584E+02 -1.695962805308E+03
 8.800000000000E-01 -7.008889417874E+02  9.961973848837E+02 -1.697086326671E+03
 8.900000000000E-01 -7.008912513683E+02  9.967428969387E+02 -1.697634148307E+03
 9.000000000000E-01 -7.008871505037E+02  9.964808168135E+02 -1.697367967317E+03
 9.100000000000E-01 -7.008899490066E+02  9.967340273157E+02 -1.697623976322E+03
 9.200000000000E-01 -7.008912346186E+02  9.999090176352E+02 -1.700800252254E+03
 9.300000000000E-01 -7.008851271120E+02  1.005101736214E+03 -1.705986863325E+03
 9.400000000000E-01 -7.008877209110E+02  1.007261553969E+03 -1.708149274880E+03
 9.500000000000E-01 -7.008897328667E+02  1.002669854097E+03 -1.703559586963E+03
 9.600000000000E-01 -7.008927421892E+02  9.969024175641E+02 -1.697795159753E+03
 9.700000000000E-01 -7.008886525241E+02  9.986017431052E+02 -1.699490395629E+03
 9.800000000000E-01 -7.008928022980E+02  1.007039956350E+03 -1.707932758648E+03
 9.900000000000E-01 -7.008982032167E+02  1.014500579634E+03 -1.715398782851E+03
 1.000000000000E+00 -7.008892345703E+02  1.016467289830E+03 -1.717356524400E+03
 1.010000000000E+00 -7.008784687713E+02  1.013551883907E+03 -1.714430352678E+03
 1.020000000000E+00 -7.008820607302E+02  1.007393941598E+03 -1.708276002328E+03
 1.030000000000E+00 -7.008820424735E+02  9.977773080994E+02 -1.698659350573E+03
 1.040000000000E+00 -7.008799346084E+02  9.883183120881E+02 -1.689198246696E+03
 1.050000000000E+00 -7.008765986479E+02  9.872036160855E+02 -1.688080214733E+03
 1.060000000000E+00 -7.008722856611E+02  9.956009685143E+02 -1.696473254175E+03
 1.070000000000E+00 -7.008687170449E+02  1.007664053393E+03 -1.708532770438E+03
 1.080000000000E+00 -7.008669413741E+02  1.019015182810E+03 -1.719882124184E+03
 1.090000000000E+00 -7.008759145137E+02  1.025929643342E+03 -1.726805557855E+03
 1.100000000000E+00 -7.008840952658E+02  1.025829874120E+03 -1.726713969386E+03
 1.110000000000E+00 -7.008827978685E+02  1.019720059111E+03 -1.720602856979E+03
 1.120000000000E+00 -7.008894379421E+02  1.010365144570E+03 -1.711254582512E+03
 1.130000000000E+00 -7.008906991012E+02  1.000848524433E+03 -1.701739223534E+03
 1.140000000000E+00 -7.008819902949E+02  9.943293894790E+02 -1.695211379774E+03
 1.150000000000E+00 -7.008791688056E+02  9.923385698362E+02 -1.693217738642E+03
 1.160000000000E+00 -7.008761223790E+02  9.952494019747E+02 -1.696125524354E+03
 1.170000000000E+00 -7.008689948935E+02  9.994639615955E+02 -1.700332956489E+03
 1.180000000000E+00 -7.008648851054E+02  1.000267258808E+03 -1.701132143914E+03
 1.190000000000E+00 -7.008551186621E+02  1.000125603999E+03 -1.700980722661E+03
 1.200000000000E+00 -7.008602712466E+02  1.004178371166E+03 -1.705038642413E+03
 1.210000000000E+00 -7.008562039922E+02  1.008369637983E+03 -1.709225841975E+03
 1.220000000000E+00 -7.008589738837E+02  1.008462133522E+03 -1.709321107405E+03
 1.230000000000E+00 -7.008650986139E+02  1.008943639194E+03 -1.709808737808E+03
 1.240000000000E+00 -7.008587212590E+02  1.011873334287E+03 -1.712732055546E+03
 1.250000000000E+00 -7.008692305190E+02  1.014167966621E+03 -1.715037197140E+03
 1.260000000000E+00 -7.008633328628E+02  1.013707267991E+03 -1.714570600854E+03
 1.270000000000E+00 -7.008610231195E+02  1.011629061773E+03 -1.712490084892E+03
 1.280000000000E+00 -7.008610394487E+02  1.009000292307E+03 -1.709861331756E+03
 1.290000000000E+00 -7.008559304788E+02  1.004562917585E+03 -1.705418848064E+03
 1.300000000000E+00 -7.008546311663E+02  9.979549512910E+02 -1.698809582457E+03
 1.310000000000E+00 -7.008597175840E+02  9.930594537677E+02 -1.693919171352E+03
 1.320000000000E+00 -7.008563930376E+02  9.950427322542E+02 -1.695899125292E+03
 1.330000000000E+00 -7.008625832480E+02  1.003695308124E+03 -1.704557891372E+03
 1.340000000000E+00 -7.008746595571E+02  1.012283059000E+03 -1.713157718557E+03
 1.350000000000E+00 -7.008769519434E+02  1.014212001031E+03 -1.715088952975E+03
 1.360000000000E+00 -7.008689802364E+02  1.010228716296E+03 -1.711097696533E+03
 1.370000000000E+00 -7.008594802340E+02  1.005409525252E+03 -1.706269005486E+03
 1.380000000000E+00 -7.008574307859E+02  1.003729883994E+03 -1.704587314780E+03
 1.390000000000E+00 -7.008541147898E+02  1.005364548807E+03 -1.706218663596E+03
 1.400000000000E+00 -7.008579644604E+02  1.008276884839E+03 -1.709134849299E+03
 1.410000000000E+00 -7.008587389446E+02  1.010515542698E+03 -1.711374281643E+03
 1.420000000000E+00 -7.008620621599E+02  1.010967845945E+03 -1.711829908105E+03
 1.430000000000E+00 -7.008679532400E+02  1.009920413391E+03 -1.710788366631E+03
 1.440000000000E+00 -7.008643733981E+02  1.007163428381E+03 -1.708027801779E+03
 1.450000000000E+00 -7.008658902958E+02  1.002858148789E+03 -1.703724039085E+03
 1.460000000000E+00 -7.008674218494E+02  9.997379944273E+02 -1.700605416277E+03
 1.470000000000E+00 -7.008607796036E+02  9.986834724124E+02 -1.699544252016E+03
