 1.331167505536E+00  1.847942269463E-01 -5.446723448045E-01  9.721272624920E+02  1.522016419932E+00  5.728072941757E-01
 1.333691795834E+00  1.942395475919E-01 -6.191859043101E-01  9.884883982114E+02  1.358278911555E+00  3.010413525968E-01
 1.329571521688E+00  1.795238788068E-01 -6.246812884031E-01  9.912089273671E+02  1.340230572290E+00  3.182078551014E-01
 1.334368422171E+00  2.005062750251E-01 -6.710243113166E-01  1.006715525230E+03  1.266087907675E+00  3.206480500058E-01
 1.333183083937E+00  1.815663839817E-01 -6.132668309351E-01  9.822670139254E+02  1.361745308787E+00  3.470923103995E-01
 1.330117626039E+00  1.794666114644E-01 -5.776864222237E-01  9.404293233723E+02  1.444893042060E+00  3.610740222760E-01
 1.331061310997E+00  1.846045968883E-01 -6.160778110503E-01  1.006541327051E+03  1.357245124938E+00  4.184710876530E-01
 1.331503080384E+00  1.908380130175E-01 -6.174753055998E-01  9.826468018925E+02  1.362149390243E+00  3.683775492947E-01
 1.327775165277E+00  1.764792622549E-01 -6.120107774693E-01  9.608201739629E+02  1.368931911961E+00  3.496086765939E-01
 1.329745490255E+00  1.851561138166E-01 -6.596375272939E-01  9.628388383850E+02  1.284671689480E+00  3.145944337998E-01
 1.329152985940E+00  1.885275667526E-01 -5.907999701368E-01  9.989798889756E+02  1.415443040552E+00  3.797581244158E-01
 1.331225096800E+00  1.945045057102E-01 -6.635505082214E-01  1.019334812709E+03  1.275411211919E+00  3.005611127540E-01
 1.328377320165E+00  1.797638189921E-01 -5.983315287193E-01  9.718399497686E+02  1.397409352871E+00  4.118317073888E-01
 1.334027442087E+00  1.988356238566E-01 -5.588746094431E-01  9.575672213494E+02  1.496938304997E+00  2.826490861891E-01
 1.329773844953E+00  1.942895537525E-01 -5.898963492965E-01  9.777255644590E+02  1.424248876515E+00  3.856004282479E-01
 1.329577790693E+00  1.855738717611E-01 -6.907387331583E-01  9.857433000517E+02  1.230453160094E+00  2.655163349076E-01
 1.330837684258E+00  1.995795402357E-01 -6.269799227190E-01  1.008010981320E+03  1.347227271744E+00  4.809268703385E-01
 1.329314087396E+00  1.843495100579E-01 -6.423130250567E-01  9.668672621759E+02  1.314617923745E+00  2.785980275410E-01
 1.326702509579E+00  1.783057027846E-01 -5.927894232559E-01  9.460981399103E+02  1.413582882694E+00  2.786817315913E-01
 1.334259735587E+00  1.967672447456E-01 -6.960547401807E-01  9.965939816984E+02  1.224730313109E+00  3.363526362881E-01
 1.330122867671E+00  1.835021968728E-01 -5.997458725572E-01  9.910586409218E+02  1.392751511345E+00  2.773782115089E-01
