 1.330719443086E+00 9.872738127917E-04 7.419098127119E-02
 1.878189909184E-01 3.483645224011E-03 1.854788595645E+00
-6.230560430673E-01 1.663181626278E-02 2.669393299020E+00
 9.820888036369E+02 9.618216707051E+00 9.793632379713E-01
 1.353852385429E+00 3.198503477393E-02 2.362520103239E+00
 3.388484804446E-01 2.535503922963E-02 7.482707077913E+00
-5.550628779344E-01 1.311993653116E-02 2.363684737842E+00
 1.799333369534E+00 8.069939653651E-01 4.484960813982E+01
 5.215030487701E+03 2.371799883636E+03 4.548007704326E+01
 2.392399531065E+00 1.074724879870E+00 4.492246658283E+01
